Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	tree_length
0	-1587.677	-1704.34	116.663	1.936644	0.08652764	0.03065646
6	-1381.088	-1492.509	111.4215	1.573041	47.72116	0.3935345
12	-1041.119	-1157.777	116.6574	1.61469	1.571961	0.4561981
18	-1392.425	-1509.966	117.5407	0.7237013	1.571961	0.5806897
24	-1237.359	-1351.488	114.1295	0.6951235	10.49614	1.489552
30	-1229.458	-1345.197	115.7388	0.9990041	4.758936	0.828519
36	-1521.491	-1638.505	117.0146	0.2518	3.208313	0.828519
42	-1211.578	-1328.321	116.7434	1.138014	2.110547	0.6864943
48	-1087.649	-1203.897	116.2478	2.513652	0.1991329	1.773453
54	-1196.627	-1314.693	118.0662	2.229241	0.08342467	0.8522855
60	-1013.919	-1126.796	112.8774	3.559004	6.5307	0.4780508
66	-1216.132	-1334.145	118.0129	1.72876	0.02726192	1.567678
72	-1153.51	-1271.642	118.1329	1.028022	0.2085168	1.463986
78	-954.5683	-1067.423	112.8547	3.038019	5.735836	1.370894
84	-1110.082	-1224.982	114.9002	3.038019	1.173528	0.1223102
90	-1433.752	-1551.109	117.3573	0.8411473	1.173528	1.082371
96	-1590.272	-1706.929	116.6568	0.5992205	3.073924	0.9058412
102	-1383.068	-1494.285	111.2173	2.143084	35.76439	0.9058412
108	-1470.294	-1582.784	112.4897	0.0405426	35.76439	1.607794
114	-983.5443	-1097.007	113.4627	1.688032	1.405669	3.024031
120	-1104.363	-1219.628	115.2648	1.289268	1.405669	2.15235
126	-1561.765	-1679.354	117.5891	0.8372781	1.356905	0.430002
132	-1231.95	-1347.147	115.1972	0.7633936	3.389191	1.846555
138	-1793.265	-1909.187	115.9214	0.9525362	3.990055	0.2215781
144	-1133.985	-1249.465	115.4804	1.729561	3.653422	0.6520287
150	-1115.207	-1231.45	116.2427	1.729561	1.956386	0.683611
156	-1053.652	-1170.904	117.2519	1.729561	0.7610945	0.6470045
162	-1297.99	-1416.429	118.4393	0.7936862	0.539733	0.7435269
168	-1463.467	-1581.979	118.512	0.3762554	0.6788929	0.9244399
174	-1174.217	-1293.041	118.8236	0.299196	0.09371774	1.785495
180	-1331.22	-1449.129	117.9092	0.1870278	0.4086792	1.89156
186	-1121.48	-1239.75	118.2704	1.808082	0.136903	0.8504761
192	-997.7863	-1114.437	116.6512	1.808082	0.7566418	1.233457
198	-1371.044	-1490.624	119.58	0.3408347	0.1453917	0.9898105
204	-1550.869	-1666.878	116.0088	0.08652065	7.284989	0.8628112
210	-1135.854	-1253.692	117.8385	0.4927837	0.06892989	2.382191
216	-955.5782	-1071.529	115.9507	2.193835	1.263882	1.059902
222	-1522.626	-1638.7	116.0736	0.2571836	6.997585	0.549328
228	-1127.913	-1243.829	115.9165	0.2571836	1.239423	2.480851
234	-1385.349	-1493.796	108.4476	1.123858	153.2908	1.561876
240	-1036.329	-1153.297	116.9681	2.017565	0.2584132	1.493463
246	-1202.757	-1321.625	118.8672	0.7657777	0.2584132	0.9363634
252	-1165.159	-1284.533	119.3735	0.8228661	0.08899032	0.9363634
258	-1205.205	-1322.509	117.3039	0.8228661	1.087036	1.215767
264	-1183.163	-1302.727	119.5636	1.116255	0.03253195	0.3824638
270	-1014.118	-1130.275	116.1563	2.095885	1.57049	0.3963739
276	-939.4148	-1054.837	115.4221	2.095885	1.762567	1.287494
282	-1180.47	-1298.048	117.5778	2.095885	0.3391335	0.4167771
288	-1349.906	-1461.802	111.896	2.02602	29.73849	0.5233079
294	-1030.487	-1147.083	116.5953	2.02602	1.066208	0.7079776
300	-1621.876	-1739.021	117.1446	0.07217418	0.0378043	3.157255
306	-1285.207	-1398.132	112.9245	0.7808526	24.64634	1.230442
312	-1060.39	-1177.979	117.5895	1.323665	0.3623792	1.366153
318	-1184.715	-1300.49	115.7749	1.524813	3.344022	0.7026447
324	-915.4581	-1027.324	111.8664	4.524249	3.344022	1.554072
330	-901.6406	-1015.48	113.8389	3.156099	2.054589	1.554072
336	-1064.221	-1180.066	115.8446	1.642011	2.328273	1.025879
342	-1023.465	-1138.804	115.3386	1.874019	2.904568	1.025879
348	-1370.932	-1482.524	111.5924	0.1623655	85.9678	0.7035246
354	-924.0703	-1035.403	111.3329	4.188455	2.902205	2.268879
360	-1452.209	-1564.181	111.9721	0.354545	67.40722	0.487491
366	-1261.797	-1373.869	112.0724	1.157004	42.88508	0.4871896
372	-1135.242	-1253.617	118.3751	0.5984629	0.2152178	1.588897
378	-1470.885	-1590.569	119.6841	0.5283221	0.1439959	0.4322205
384	-1220.973	-1339.776	118.803	0.5001377	0.09284861	1.661074
390	-1132.304	-1250.362	118.0576	1.700217	0.227103	0.8906517
396	-1189.719	-1308.678	118.9589	0.7026024	0.227103	0.9933138
402	-1328.14	-1446.821	118.6808	1.703621	0.008690689	0.9933138
408	-1780.793	-1896.18	115.3875	0.1436679	11.33317	0.3479986
414	-944.9193	-1060.407	115.488	2.425378	0.6160106	1.783851
420	-1454.684	-1573.001	118.3167	0.4667904	0.9435225	0.6284905
426	-1632.899	-1752.247	119.3486	0.1046591	0.4451548	0.6284905
432	-1394.547	-1511.762	117.2144	0.2600814	1.668065	1.372447
438	-1338.882	-1455.332	116.4506	0.3934052	2.828437	1.372447
444	-1284.903	-1399.065	114.1627	1.790805	6.301335	0.1433143
450	-997.6896	-1113.88	116.1908	1.790805	1.771541	0.8381452
456	-1462.673	-1581.049	118.376	0.04955454	0.6902992	1.330257
462	-1056.576	-1174.377	117.8012	2.165879	0.2110499	0.6553747
468	-1092.356	-1208.875	116.5192	3.043745	0.2110499	1.129655
474	-1070.792	-1188.017	117.2243	2.765992	0.2110499	0.4135882
480	-1265.706	-1383.808	118.1018	1.474516	0.3348797	0.2917824
486	-1303.915	-1417.495	113.5795	0.2048131	27.27967	0.9903879
492	-1296.427	-1414.97	118.5426	0.6351791	0.3893518	1.097052
498	-1007.904	-1124.064	116.1595	2.738267	0.409641	1.303834
504	-1449.711	-1565.53	115.8185	0.3004263	6.28105	1.066527
510	-1131.396	-1249.564	118.1675	0.7626607	0.2756312	1.502718
516	-1187.367	-1301.728	114.3618	1.266448	10.27276	0.7836569
522	-1146.805	-1265.128	118.3237	1.249789	0.3381121	0.7836569
528	-1281.048	-1396.222	115.1737	0.4314286	8.148973	1.17959
534	-1163.806	-1281.378	117.572	0.5839125	0.1142057	2.367104
540	-1252.68	-1372.258	119.5782	0.6291745	0.1075758	0.8320979
546	-1420.877	-1536.122	115.2454	0.2838566	10.6825	0.8320979
552	-1168.99	-1281.744	112.7535	1.549626	19.84983	1.038968
558	-1057.834	-1171.597	113.7634	0.9934178	1.294973	3.310261
564	-910.3388	-1025.156	114.8173	3.669922	1.294973	0.5039269
570	-1178.537	-1296.916	118.3789	1.648346	0.04913956	1.26774
576	-1361.343	-1479.002	117.6586	0.007649801	1.047812	1.602857
582	-899.5345	-1012.371	112.8367	5.147395	1.953342	0.365514
588	-1424.504	-1540.687	116.1827	0.2806572	1.953342	1.967526
594	-1390.607	-1507.729	117.1222	0.8953617	1.953342	0.5776495
600	-1003.525	-1118.276	114.7512	2.376815	3.90118	0.6399624
606	-1527.312	-1647.199	119.8875	0.1737642	0.1657228	0.7375882
612	-1127.048	-1240.041	112.9931	1.38873	22.00531	0.7375882
618	-1082.429	-1194.104	111.6751	2.878436	18.33006	0.9246401
624	-914.4819	-1030.352	115.8704	2.636577	0.8662847	1.078277
630	-1325.407	-1440.702	115.2953	0.3758509	10.75381	0.5357936
636	-1264.589	-1379.054	114.4643	0.8011021	13.73046	0.4286057
642	-1344.276	-1463.921	119.6449	0.5511061	0.1434877	0.6288691
648	-1364.141	-1479.538	115.3966	1.398576	4.820766	0.3289074
654	-1765.331	-1880.796	115.4645	0.05745288	11.26967	0.3289074
660	-1233.588	-1351.618	118.0305	0.4314749	0.3563598	1.710349
666	-906.1455	-1021.539	115.3934	2.392544	1.703454	1.089337
672	-973.8968	-1088.401	114.5038	2.392544	4.065332	0.8967677
678	-1189.668	-1308.778	119.1096	0.5441123	0.08557451	1.425457
684	-1335.39	-1453.601	118.211	0.7144015	0.5372482	1.090935
690	-1683.823	-1801.724	117.9005	0.07633754	1.955984	0.6753603
696	-998.4999	-1114.471	115.9712	1.632313	1.560573	1.329276
702	-1478.304	-1595.92	117.6167	0.3189749	1.560573	1.040853
708	-1530.477	-1648.034	117.5569	0.3189749	1.560573	1.097125
714	-1110.996	-1227.883	116.8869	3.359058	0.1372254	0.524134
720	-1352.176	-1469.281	117.1049	0.4748938	1.744284	1.246239
726	-1334.306	-1450.546	116.2402	0.245074	3.119597	1.550496
732	-1137.392	-1255.279	117.8866	0.2830933	0.3252981	1.957214
738	-1025.44	-1142.008	116.5683	1.045763	0.4137776	2.204318
744	-998.6433	-1114.612	115.969	2.428199	0.4137776	1.675624
750	-1262.72	-1380.858	118.1381	0.3845752	0.4137776	1.585171
756	-978.0773	-1094.809	116.7316	1.794607	0.7802871	1.150989
762	-937.553	-1053.294	115.7407	2.323767	1.819148	0.6682507
768	-931.0752	-1045.798	114.7223	2.68414	0.886587	1.900768
774	-942.4021	-1058.028	115.6255	3.243527	0.886587	0.5435332
780	-902.2503	-1016.389	114.139	2.106256	2.001286	2.093379
786	-1077.925	-1195.679	117.7546	2.106256	0.2565143	0.6134015
792	-985.8843	-1099.592	113.7079	5.025593	0.5459668	1.246898
798	-1241.671	-1355.334	113.663	0.05801611	6.183668	2.750566
804	-1244.617	-1356.42	111.8029	0.1536073	20.41133	2.657431
810	-1239.003	-1354.838	115.8348	0.1267301	1.504248	2.483008
816	-1342.511	-1458.803	116.2924	0.2475231	3.652411	1.351804
822	-1110.313	-1228.04	117.7272	1.390713	0.3494978	1.221064
828	-1365.912	-1484.335	118.4232	0.1535822	0.04185761	2.31144
834	-914.4835	-1027.287	112.8039	4.376694	1.187138	1.854495
840	-1035.95	-1151.995	116.045	2.197217	1.543636	0.6830459
846	-1223.631	-1339.43	115.7985	0.5111077	0.1164787	3.478152
852	-914.9963	-1028.524	113.5273	2.541801	2.212288	2.130936
858	-1014.269	-1130.19	115.9207	2.541801	1.29386	0.3951018
864	-1395.145	-1511.946	116.8005	0.2968496	2.2012	1.415112
